ID_REF,x,y
138027.0,-0.048974864,3.8239863
179861.0,-0.61600137,2.2122598
38092.0,-0.11256841,2.1379313
89022.0,1.0331951,2.9202762
138035.0,2.0325894,3.4418774
38057.0,-2.269717,1.5400487
89003.0,0.14803386,0.882026
38086.0,-0.9489875,2.7703402
102536.0,0.2649554,3.1112034
53160.0,1.3847773,3.6287732
152621.0,0.2272794,2.7073357
88971.0,-0.52665704,1.8644073
152576.0,-0.18535511,3.6323295
102566.0,1.1919761,2.8963544
76628.0,1.1914974,3.7245286
46855.0,-1.09854,3.2160408
38091.0,-1.330991,2.1315756
138014.0,0.051288396,3.417529
53095.0,0.80652153,3.843177
46873.0,-1.3309869,3.2171102
76486.0,0.77665555,3.5995035
152713.0,1.3422761,3.1971915
89000.0,1.2445117,3.3726277
46846.0,-0.8740957,3.0151048
117588.0,0.772965,3.581359
53159.0,1.2243223,3.6529825
203648.0,-1.0164794,3.4811928
137896.0,1.4702269,2.7358088
88980.0,-0.088111006,2.5236144
137898.0,0.54226387,2.3145583
46954.0,-1.4171325,3.1544673
179854.0,-0.59193593,1.0982758
137988.0,-0.55071723,2.237146
102530.0,0.1408436,3.69403
152679.0,0.52157086,0.5408069
76500.0,0.35188958,2.0277824
76604.0,1.2056707,0.6016712
46831.0,0.8358902,-0.023142504
89079.0,2.110284,-1.6226398
53077.0,2.76689,-1.4694332
76601.0,1.2857633,0.56561184
152754.0,1.4517052,-1.2043347
53054.0,1.3806797,0.45925027
152634.0,2.774238,5.0775213
46910.0,0.6340562,-0.23701191
88974.0,1.4514929,0.19776966
46853.0,-2.82425,2.6320703
89097.0,1.1835243,-0.1033517
203635.0,0.2265149,0.39550775
89012.0,1.9646182,-0.06736072
301695.0,1.7533163,-1.5795467
76511.0,1.4876347,-1.5418587
203708.0,-0.31403506,3.8353138
38110.0,-1.2084446,3.1662428
46852.0,-2.8584132,2.6279526
277682.0,-0.62434196,3.179853
152605.0,0.035289325,3.2758088
231932.0,-0.26576746,3.3505182
137937.0,-0.013037344,3.6979415
76603.0,1.2798167,3.011805
46849.0,-1.3226743,3.2186072
102467.0,-1.6073819,-1.1279894
117759.0,0.62517494,3.1688008
152781.0,1.1401519,3.1559572
76627.0,0.96597093,3.5658808
203624.0,-0.6011328,3.503503
203628.0,0.382373,1.6793835
88996.0,-0.29823586,3.902139
53078.0,0.458819,3.680269
89068.0,-0.52298015,1.8539163
231884.0,-0.02041919,3.546984
203658.0,-0.5038886,3.2754776
76566.0,0.77746296,3.4796908
117580.0,0.7632712,3.3696473
53052.0,0.8195934,3.622675
137925.0,0.16432394,3.8405893
152618.0,0.3809998,2.5326195
102569.0,0.20912634,2.9030068
179837.0,-0.091892056,0.9565259
53035.0,0.57022923,2.4808552
152691.0,-0.14155623,3.6516976
301663.0,-0.51956636,0.73908603
46891.0,-1.8565744,1.7674432
102441.0,-0.036573,2.1353698
88991.0,0.33323818,1.4624497
46830.0,1.5236698,-2.1829524
152657.0,2.1782553,-0.47803926
89093.0,-0.63913804,1.0822233
76489.0,1.3901337,-0.01519781
102483.0,1.6933187,1.6733092
203626.0,1.0467318,-1.7361604
53186.0,1.6202699,1.824457
53118.0,-0.30218786,4.018573
152672.0,0.36202815,2.4277568
53185.0,1.3389286,0.5914141
137983.0,1.1783497,-0.889022
38064.0,0.4402334,0.110580444
76533.0,2.665348,-1.4888731
102445.0,1.415761,-0.12666287
231947.0,1.9492524,-0.9276292
203637.0,0.3278924,1.1489629
46911.0,2.4023452,-2.0366247
76514.0,0.63221854,3.8183541
76545.0,0.1813021,1.8119737
46885.0,-1.3862196,2.998382
138028.0,2.1080806,3.528267
117687.0,0.48209736,3.575131
46880.0,-1.5541242,3.0607095
203701.0,-0.34397462,2.8811884
46859.0,-1.4720417,2.5986867
117685.0,-0.124927826,2.0030458
152782.0,-0.61423725,2.9510052
46874.0,-1.7347248,2.6065629
88969.0,0.56455,3.517236
89014.0,1.0328951,2.9971867
38063.0,-1.5998727,1.6562924
117695.0,0.4361953,3.7642832
38083.0,-1.0042472,3.2021089
76497.0,1.0635684,3.7139008
117581.0,-1.1481142,1.7313313
53096.0,1.052872,3.6779287
203726.0,4.088071,6.5210943
203669.0,0.27323344,2.6230567
137984.0,0.025019582,1.7279491
46974.0,-2.0197108,1.6451436
152768.0,0.13017859,1.6529846
152729.0,0.41470546,2.8897412
179919.0,0.57552963,1.8167502
179902.0,0.04440052,0.81517327
152761.0,-1.4824468,1.5509021
152590.0,1.2064888,2.7974246
46933.0,-2.0259285,1.7093077
179950.0,0.4239216,3.807423
152678.0,0.43147638,3.0786552
102506.0,-0.34857476,0.5219567
152706.0,0.8832669,-0.3243666
152683.0,0.40927747,0.67877024
152668.0,0.9638323,-0.7744064
231882.0,0.9307136,-0.36649498
